generateur(gen1,60).
generateur(gen2,45).
generateur(gen3,20).
generateur(gen4,42).
generateur(gen5,35).
generateur(gen6,90).
maison(maison1,NORMAL).
maison(maison2,BASSE).
maison(maison3,NORMAL).
maison(maison4,FORTE).
maison(maison5,FORTE).
maison(maison6,NORMAL).
maison(maison7,NORMAL).
maison(maison8,FORTE).
maison(maison9,BASSE).
connexion(maison5,gen6).
connexion(maison6,gen6).
connexion(maison8,gen2).
connexion(maison4,gen1).
connexion(maison3,gen3).
connexion(maison7,gen4).
connexion(maison9,gen4).
connexion(maison1,gen5).
connexion(maison2,gen5).
